Engine name;Human-readable name;Game modes
XP1_001;Strike At Karkand;ConquestLarge0,ConquestSmall0,ConquestSmall1,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0
Xp1_002;Gulf of Oman;ConquestLarge0,ConquestSmall0,ConquestSmall1,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0
XP1_003;Sharqi Peninsula;ConquestLarge0,ConquestSmall0,ConquestSmall1,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0
XP1_004;Wake Island;ConquestLarge0,ConquestSmall0,RushLarge0,SquadRush0,SquadDeathMatch0,TeamDeathMatch0
